N,EstimatedArea,RelativeError
100,2.12,5.453329938
600,2.033333333,1.142344751
1100,2.094545455,4.187166456
1600,2.0125,0.1060502356
2100,2.024761905,0.7159835792
2600,1.953846154,2.811517401
3100,2.012903226,0.1261075488
3600,2.017777778,0.3685781796
4100,1.988292683,1.098073441
4600,1.999130435,0.5589805059
5100,2.010980392,0.03046169442
5600,2.017142857,0.3369958705
6100,1.981639344,1.429024723
6600,2.038181818,1.383518748
7100,2.028732394,0.9134842161
7600,2.011052632,0.03405503763
8100,2.014320988,0.1966300525
8600,2.045581395,1.751589527
9100,2.010989011,0.03089041355
9600,2.043333333,1.639766119
10100,2.044356436,1.690657414
10600,2.038867925,1.417647144
11100,2.012252252,0.09372673323
11600,2.01137931,0.05030473748
12100,1.985454545,1.239248463
12600,2.02,0.4791162613
13100,2.014045802,0.1829417065
13600,2.041470588,1.547109198
14100,2.00141844,0.4451702516
14600,2.023835616,0.6699080187
15100,2.019072848,0.4329977239
15600,2.03025641,0.989292023
16100,2.000745342,0.4786515894
16600,2.037108434,1.330126312
17100,2.011929825,0.07768849093
17600,2.003181818,0.3574560388
18100,2.036022099,1.276089723
18600,1.984946237,1.264532834
19100,2.016963351,0.3280668408
19600,2.004489796,0.2923944313
20100,2.038208955,1.384868602
20600,1.984854369,1.269102526
21100,2.016872038,0.3235247435
21600,2.012592593,0.110655989
22100,1.979909502,1.51507076
22600,2.000530973,0.4893147199
23100,2.0204329,0.5006496538
23600,2.023220339,0.6393028034
24100,2.021410788,0.5492918899
24600,1.994634146,0.7826355005
25100,1.982310757,1.39562722
25600,1.99640625,0.694487278
26100,2.02789272,0.8717170342
26600,2.002406015,0.3960461449
27100,2.027306273,0.8425458952
27600,2.024057971,0.6809684105
28100,2.015373665,0.2489924969
28600,1.991188811,0.9540138328
29100,2.00838488,0.09864463993
29600,2.019324324,0.4455067094
30100,2.013820598,0.1717396022
30600,2.011895425,0.07597737512
31100,2.001672026,0.4325563418
31600,2.007088608,0.1631239855
32100,2.017819315,0.370644312
32600,2.018282209,0.393669646
33100,1.992145015,0.9064502068
33600,2.021785714,0.5679415055
34100,2.043167155,1.631500075
34600,2.016416185,0.300849644
35100,2.008660969,0.08491138632
35600,2.009325843,0.05183913111
36100,2.00132964,0.4495873447
36600,2.023715847,0.6639504307
37100,2.018760108,0.4174413747
37600,2.019893617,0.4738245446
38100,2.017532808,0.3563928793
38600,2.011502591,0.05643696446
39100,2.021994885,0.5783460993
39600,2.018787879,0.4188227622
40100,2.029426434,0.9480072263
40600,2.004039409,0.3147976457
41100,2.025498783,0.7526374999
41600,2.014423077,0.2017081909
42100,2.015106888,0.235722433
42600,2.01915493,0.4370806528
43100,1.987842227,1.120480062
43600,2.00733945,0.1506465711
44100,2.000181406,0.5067029571
44600,2.022152466,0.5861845377
45100,1.981197339,1.451010997
45600,2.005087719,0.2626524448
46100,2.001214751,0.4553021864
46600,2.016223176,0.2912489637
47100,1.997367304,0.6466824179
47600,2.012773109,0.1196352729
48100,2.017796258,0.3694974152
48600,2.026584362,0.8066365034
49100,2.022158859,0.5865025443
49600,2.004435484,0.2950960286
50100,1.997764471,0.6269264603
50600,2.005770751,0.2286769891
51100,2.023405088,0.6484926174
51600,2.011627907,0.06267046515
52100,2.010825336,0.02274886451
52600,2.016273764,0.2937653334
53100,2.018154426,0.3873134477
53600,2.006865672,0.1742132962
54100,2.007911275,0.1222027303
54600,2.005567766,0.2387739176
55100,2.016914701,0.3256468738
55600,2.009784173,0.0290408193
56100,2.01254902,0.1084885756
56600,2.011943463,0.07836689091
57100,2.012539405,0.1080103023
57600,2.012222222,0.09223297537
58100,2.003855422,0.3239495611
58600,2.02334471,0.6454892785
59100,2.017935702,0.3764336778
59600,2.010604027,0.01174047964
60100,2.01936772,0.4476653262
60600,2.011419142,0.05228604485
61100,1.990180033,1.004192629
61600,2.013246753,0.1431953377
62100,2.013655395,0.1635220281
62600,2.001469649,0.4426230142
63100,2.008938193,0.07112163823
63600,2.012327044,0.09744703582
64100,2.009173167,0.05943355014
64600,2.007925697,0.12148539
65100,1.998709677,0.5799098762
65600,2.007560976,0.1396273911
66100,2.008290469,0.1033408318
66600,2.006486486,0.193074776
67100,2.013412817,0.1514556883
67600,2.007988166,0.1183780442
68100,2.02061674,0.5097942311
68600,2.021399417,0.5487262486
69100,1.999073806,0.5617973387
69600,2.006436782,0.1955472028
70100,2.020770328,0.5174340271
70600,2.006458924,0.1944458172
71100,2.011758087,0.06914590767
71600,2.003743017,0.3295408224
72100,2.009875173,0.02451424961
72600,2.004352617,0.2992179999
73100,2.014281806,0.1946810607
73600,2.008913043,0.07237264629
74100,2.014197031,0.1904641856
74600,2.007828418,0.1263242237
75100,2.018695073,0.4142064157
75600,2.004126984,0.3104414651
76100,2.003206307,0.3562378883
76600,1.994360313,0.7962565403
77100,2.01385214,0.1733085723
77600,2.01242268,0.1022041941
78100,2.0184379,0.4014140758
78600,2.003613232,0.3359966159
79100,2.016839444,0.3219034397
79600,2.019396985,0.449121003
80100,2.005143571,0.2598742849
80600,2.009181141,0.05903688085
81100,2.019531443,0.4558092182
81600,2.024411765,0.6985668647
82100,2.010523752,0.007747413535
82600,2.003341404,0.3495178814
83100,2.020120337,0.485102078
83600,2.018516746,0.4053360584
84100,2.01274673,0.1183231171
84600,2.024586288,0.7072480469
85100,1.993184489,0.8547445624
85600,2.013504673,0.1560248122
86100,2.01087108,0.0250242811
86600,2.012055427,0.08393623713
87100,2.01598163,0.2792339666
87600,2.002420091,0.3953459603
88100,2.019432463,0.4508857637
88600,2.006139955,0.2103119999
89100,2.002154882,0.4085380311
89600,1.999241071,0.5534772028
90100,2.020554939,0.5067201108
90600,2.007505519,0.1423859331
91100,2.015060373,0.2334086703
91600,2.015982533,0.279278856
92100,2.020542888,0.5061206787
92600,2.007300216,0.1525981321
93100,2.014522019,0.2066297978
93600,2.006282051,0.2032438199
94100,2.020913921,0.5245766626
94600,2.016997886,0.3297846879
95100,2.010010515,0.01778205547
95600,2.004435146,0.295112813
96100,2.025764828,0.7658711392
96600,2.018923395,0.4255636503
97100,2.012070031,0.0846626536
97600,2.009467213,0.04480706444
98100,2.01158002,0.06028848387
98600,2.016876268,0.3237351444
99100,2.018244198,0.3917789071
99600,2.009236948,0.05626095366
